"dbms","table_catalog","table_schema","table_name","column_name","ordinal_position","data_type","character_maximum_length","constraint_type","table_schema-2","table_name-2","column_name-2"
"postgresql","LinkGPStracking","_timescaledb_catalog","dimension","partitioning_func",8,"name",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_internal","_hyper_1_5_chunk","heading",5,"real",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","dimension","aligned",5,"boolean",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","tracking","daily_routes","distance_km",5,"real",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_internal","bgw_job_stat","consecutive_failures",13,"integer",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","tracking","route_clusters_ml","centroid_lat",4,"double precision",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","dimension","partitioning_func_schema",7,"name",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","tracking","geofence_events","event_type",5,"character varying",20,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","tracking","daily_routes_ml","route",4,"USER-DEFINED",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_internal","_hyper_1_7_chunk","metadata",10,"jsonb",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","telemetry_event","tag",2,"name",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_internal","bgw_job_stat","last_run_success",6,"boolean",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","continuous_agg_migrate_plan_step","config",7,"jsonb",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","hypertable","chunk_sizing_func_schema",7,"name",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","compression_settings","segmentby",3,"ARRAY",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","tracking","device_status","ignition",2,"boolean",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_internal","_hyper_1_1_chunk","speed",4,"real",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","compression_chunk_size","compressed_heap_size",6,"bigint",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","continuous_agg_migrate_plan_step","status",3,"text",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","tracking","tracked_devices","metadata",7,"jsonb",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_internal","bgw_job_stat_history","succeeded",6,"boolean",NULL,NULL,NULL,NULL,NULL
"postgresql","LinkGPStracking","_timescaledb_catalog","metadata","include_in_telemetry",3,"boolean",NULL,NULL,NULL,NULL,NULL
